scope,file,check,status,evidence,action
I-III,00-preface.md,cross_reference,pass,"1;4-7;8-10;11-14;12;13;15;25-26;27-32;36-40","none"
I-III,00-reading-routes.md,cross_reference,pass,"all referenced chapter numbers exist and route descriptions match book.yaml","none"
I,01-agent-run.md,handoff,pass,"exports Run Turn Attempt LogicalCall Effect Receipt identities","none"
I,02-react-state-machine.md,python_syntax,pass,"2 blocks parsed by ast.parse","added explicit pseudocode labels"
I,03-framework-boundaries.md,yaml_parse,pass,"1 block parsed by yaml.safe_load","quoted question-mark placeholders"
II,04-context-assembly.md,python_json,pass,"1 Python block parsed; 1 JSON block decoded","added explicit pseudocode label"
II,05-tokenizer-tool-schema.md,python_json,pass,"1 Python block parsed; 1 JSON block decoded","added explicit pseudocode label"
II,06-context-compaction.md,python_syntax,pass,"1 block parsed by ast.parse","added explicit pseudocode label"
II,07-memory-lifecycle.md,sql_prepare,pass,"SQLite prepared query against minimal memories schema with all named bindings","marked schema and binding requirements"
III,08-model-request-retry.md,cross_reference,pass,"13=logical call/effect; 10=stochastic-control experiment","added explicit pseudocode label"
III,09-stream-reduction.md,python_syntax,pass,"1 block parsed by ast.parse","added explicit pseudocode label"
III,10-stochastic-control.md,handoff,pass,"exports deterministic admission gate to tool/effect part","none"
I-III,00-10,exact_duplicate_paragraph,pass,"0 normalized paragraphs duplicated across different chapter files","none"
I-III,00-10,fenced_blocks,pass,"18 Mermaid; 7 Python; 8 text; 3 JSON; 1 YAML; 1 SQL","syntax-like blocks classified"
I-III,00-10,reader_surface,pass,"no internal production vocabulary introduced by this audit","none"
